Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralieninmg/Liter;Mineralisation
Neuselters;114.00;8.70;33.60;117.00;0.0;117.00;12.00;630.00;1.00;0.0;0.50;1033.80;mittel
OdenwaldQuelle;130.00;0.0;20.00;140.00;0.0;260.00;60.00;470.00;0.0;0.0;0.0;1080.00;mittel
Oppacher;10.10;1.60;6.40;29.80;0.0;12.70;71.40;45.60;0.0;0.0;0.14;177.74;extremgering
Perling;852.00;13.00;57.00;113.00;0.0;575.00;468.00;1321.00;0.50;0.02;0.70;3400.22;extremstark
Peterstaler;140.00;10.00;20.00;110.00;0.0;20.00;110.00;610.00;0.0;0.0;0.0;1020.00;mittel
PfaelzerSilberbrunnen;146.00;3.80;10.10;41.00;0.0;135.00;11.00;326.00;0.0;0.0;0.0;672.90;gering
Puri;7.40;0.0;4.20;18.60;0.0;0.0;19.30;10.20;0.0;0.0;0.16;59.86;extremgering
PyraserWaldquelle;1.80;6.90;6.80;56.00;0.0;5.30;20.00;184.00;2.50;0.0;0.15;283.45;extremgering
Q4;178.00;12.20;9.10;83.80;0.0;241.60;46.60;317.00;0.0;0.0;0.0;888.30;gering
Randegger;9.10;1.60;30.00;87.00;0.0;6.10;35.00;378.00;0.50;0.0;0.10;546.90;gering
Rangau;377.00;23.00;104.00;617.00;0.0;578.00;1618.00;394.00;1.00;0.0;0.0;3711.00;extremstark
Redinger;385.00;13.20;4.57;25.09;0.0;259.70;2.20;664.20;0.80;0.0;3.90;1358.66;mittel
Rennsteig;12.40;3.90;26.50;73.20;0.0;15.30;141.00;186.00;0.0;0.0;0.0;458.30;extremgering
ResidenzQuelle;89.30;12.40;83.70;590.00;0.02;99.40;1488.00;392.70;0.5;0.02;0.29;2756.33;sehrstark
Rhenser;64.50;3.80;20.70;109.00;0.0;73.80;73.00;379.00;3.00;0.02;0.35;727.17;gering
RhoenSprudel;4.90;15.40;25.00;46.20;0.0;10.30;32.00;234.00;0.50;0.0;0.60;368.40;extremgering
Roemer;18.80;3.77;45.00;569.00;0.01;9.90;1430.00;187.00;0.10;0.005;0.22;2263.69;stark
Romi;7.50;12.00;37.00;137.00;0.0;3.30;137.00;350.00;0.0;0.0;0.60;684.40;gering
Rosbacher;85.00;4.00;92.80;209.00;0.0;141.00;12.00;1079.00;0.40;0.02;0.1;1623.20;mittel
RosbacherUr-Quelle;39.30;3.10;131.40;261.60;0.0;50.00;6.60;1477.00;0.30;0.02;0.1;1969.42;mittel
SanPellegrino;44.30;0.00;59.40;202.00;0.002;69.10;538.00;221.00;1.00;0.02;0.66;1135.48;mittel
Schillerbrunnen;35.20;12.90;40.90;153.00;0.04;51.60;208.00;425.00;0.80;0.005;0.20;927.44;gering
Selters;278.00;14.00;39.10;110.00;0.007;262.00;18.00;805.00;0.30;0.02;0.93;1527.04;mittel
Siebers-Quelle;5.40;1.20;19.30;77.40;0.59;2.55;18.20;317.00;0.0;0.0;0.13;441.77;extremgering
Siegsdorfer;9.20;1.00;24.30;92.00;0.0;16.00;9.90;380.50;6.00;0.0;0.20;539.10;gering
Silberbrunnen;88.00;4.20;43.00;223.00;0.0;3.10;485.00;308.00;0.0;0.0;0.90;1155.20;mittel
SolanderBlaubornQuelle;20;0.0;7.80;30.80;0.0;0.0;96.00;36.80;0.0;0.0;0.0;191.40;extremgering
Sodenthaler;173.00;8.80;59.30;215.00;0.0;649.00;33.00;232.00;1.30;0.0;0.25;1371.65;mittel
Spreequell;6.90;1.90;3.70;19.40;0.0;5.60;74.10;18.70;0.0;0.0;0.0;130.30;extremgering
Steiu;24.70;2.20;29.00;54.60;0.0;33.70;27.60;274.00;2.0;0.05;0.14;445.94;extremgering
Stauferquelle;947.00;97.00;119.00;549.00;0.0;670.00;2335.00;779.00;0.0;0.0;2.61;5498.61;extremstark
Steinsieker;19.40;2.00;40.00;600.00;0.0;80.00;1320.00;250.00;0.0;0.0;0.0;2311.40;stark
St.Leonhardsquelle;6.10;1.20;26.00;85.00;0.0;9.30;1.90;391.00;0.05;0.0;0.0;520.50;gering
StolzenbacherGebirgswasser;0.60;0.0;22.40;73.20;0.0;1.00;3.20;325.00;4.80;0.0;0.0;429.20;extremgering
Taufrisch;8.40;3.20;21.40;91.70;0.003;9.80;36.00;367.00;1.00;0.005;0.57;539.08;gering
Teicher;100.00;6.20;20.00;100.00;0.0;20.00;30.00;610.00;8.70;0.0;0.90;895.80;gering
Teusser;38.00;8.00;82.00;585.00;0.0;43.00;1450.00;350.00;2.00;0.0;0.0;2558.00;sehrstark
Toenissteiner;108.00;16.10;129.00;165.00;0.020;32.10;30.00;1350.00;1.50;0.005;0.28;1832.00;mittel
ThueringerWaldquelle;28.40;2.90;50.00;106.00;0.0;39.40;241.00;281.00;0.0;0.0;0.0;748.70;gering
Ueberkinger;1090.00;14.10;14.70;22.50;0.0;100.00;1110.00;1480.00;0.0;0.0;2.95;3834.25;extremstark
UttingerKeltenbrauerei;8.60;1.50;34.10;82.60;0.0;1.93;11.30;427.10;0.20;0.005;0.07;567.40;gering
