Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralien in mg/Liter;Mineralisation
Jesuitenquelle;2.70;1.40;29.00;94.00;<0.05;3.90;36.00;390.00;0.14; ; ;557.14;gering
Justus;29.50;0.00;42.00;354.00; ;29.70;465.00;752.00; ; ; ;1672.20;mittel
Klosterquelle;22.00;5.00;85.00;408.00; ;11.00;1053.00;353.00; ; ; ;1937.00;mittel
Kondrauer;99.50;17.50;22.83;104.40;0.12;40.50;41.60;610.20; ; ;1.22;937.87;gering
Koenig Otto Sprudel;11.70;4.10;8.00;7.90; ;16.80;22.00;42.00;1.80; ;0.33;114.63;extrem gering
Krumbacher;9.10;2.30;23.30;87.00; ;6.40;19.00;381.00; ; ;0.10;528.20;gering
Labertaler Sebastian;179.00;8.50;4.30;8.20; ;102.00; ;348.00;<0.30; ;3.40;653.70;gering
Labertaler Stephanie;5.80;1.80;33.80;68.90; ;0.60;7.60;390.00;0.30; ;0.13;508.93;gering
Laurentius Schwarzwaldquirli;68.00;7.16;5.87;27.10;<0.01;5.90;57.90;210.00;0.80;<0.005;2.23;384.98;extrem gering
Leisslinger;7.80;3.00;24.10;94.00;0.003;7.30;26.00;391.00;1.00;0.005;0.58;554.79;gering
Lichtenauer;13.40;1.80;12.30;68.70;0.01;23.00;89.90;153.00;<0.50;<0.005;0.20;362.31;extrem gering
Lieler;13.00;2.00;9.50;125.00; ;21.00;37.00;372.00;1.00; ; ;580.50;gering
Margon;29.00; ;15.00;79.00; ;62.00;105.00;149.00; ; ; ;439.00;extrem gering
Maerkisches Kristall;36.00;2.70;12.60;120.00; ; ; ;365.00; ; ; ;536.30;gering
Markgraefler;313.00;4.20;38.00;454.00; ;44.80;936.00;392.00;1.00; ; ;2183.00;stark
Montanus Tafelwasser;0.60; ;22.40;73.20; ;<1.00; ;325.00; ; ; ;421.20;sehr gering
Monte Azzuro;10.60;1.50;3.10;96.50; ;18.00;19.80;274.00; ; ; ;423.50;extrem gering
Mozartquelle;27.00;1.00;0.00;25.00; ;1.00;11.00;222.00; ; ; ;287.00;extrem gering
Naturparkquelle;19.40;3.86;3.00;565.00; ;9.10;1451.00;175.00; ; ;0.24;2226.60;stark
Neumarkter;3.80;4.50;14.00;72.00; ;5.70;31.00;269.00;<0.50;<0.005;0.33;400.88;extrem gering
Neuselters;114.00;8.70;33.60;117.00; ;117.00;12.00;630.00;1.00; ;0.50;1033.80;mittel
Odenwald Quelle;130.00; ;20.00;140.00; ;260.00;60.00;470.00; ; ; ;1080.00;mittel
Oppacher;10.10;1.60;6.40;29.80; ;12.70;71.40;45.60; ; ;0.14;177.74;extrem gering
Perling;852.00;13.00;57.00;113.00; ;575.00;468.00;1321.00;0.50;<0.02;0.70;3400.22;extrem stark
Peterstaler;140.00;10.00;20.00;110.00; ;20.00;110.00;610.00; ; ; ;1020.00;mittel
Pfaelzer Silberbrunnen;146.00;3.80;10.10;41.00; ;135.00;11.00;326.00; ; ; ;672.90;gering
Purina;7.40; ;4.20;18.60; ; ;19.30;10.20; ; ;0.16;59.86;extrem gering
Pyraser Waldquelle;1.80;6.90;6.80;56.00; ;5.30;20.00;184.00;2.50; ;0.15;283.45;extrem gering
Q 4;178.00;12.20;9.10;83.80; ;241.60;46.60;317.00; ; ; ;888.30;gering
